"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.923659811028029,0.654,0.143,0,"0","LILRB3"
0,0.918984507753631,0.969,0.781,0,"0","S100A10"
0,0.917120367312584,0.579,0.085,0,"0","CD163"
0,0.916335764706848,0.957,0.599,0,"0","FKBP1A"
0,0.915034882079569,0.748,0.27,0,"0","IFNGR2"
0,0.913712412094522,0.847,0.323,0,"0","MARCH1"
0,0.910863816512507,0.625,0.13,0,"0","TLR2"
0,0.909994720767243,0.921,0.427,0,"0","NPC2"
0,0.909611836057067,0.566,0.097,0,"0","ANPEP"
0,0.909274605248824,0.733,0.188,0,"0","HCK"
0,0.907528338213285,0.708,0.231,0,"0","ATP6V1B2"
0,0.906529308683224,0.701,0.204,0,"0","SLC16A3"
0,0.90571689581205,0.874,0.38,0,"0","CTSZ"
0,0.900461137981819,0.553,0.128,0,"0","BCL6"
0,0.900156477920716,0.993,0.8,0,"0","SAT1"
0,0.899071026849392,0.793,0.282,0,"0","LY86"
0,0.897955826247627,0.705,0.233,0,"0","CRTAP"
0,0.897221490807185,0.615,0.132,0,"0","LILRA5"
0,0.896747621130763,0.816,0.347,0,"0","ATP6V0D1"
0,0.893121495391297,0.784,0.246,0,"0","PECAM1"
0,0.891539195356395,0.68,0.178,0,"0","RNASE6"
0,0.889802414423979,0.607,0.159,0,"0","MAFB"
0,0.886995756925786,0.93,0.596,0,"0","IQGAP1"
0,0.885771993069273,0.594,0.115,0,"0","TLR4"
0,0.883677239327622,0.803,0.35,0,"0","TNFSF10"
0,0.880410282245901,0.648,0.148,0,"0","C19orf38"
0,0.87964083566153,0.56,0.092,0,"0","OSCAR"
0,0.878737723407989,0.851,0.417,0,"0","CNPY3"
0,0.86980947156982,0.769,0.318,0,"0","BNIP3L"
0,0.869713278842515,0.719,0.271,0,"0","RAB27A"
0,0.866805992606943,0.704,0.249,0,"0","PICALM"
0,0.859993206903625,0.598,0.152,0,"0","SULT1A1"
0,0.8585494559599,0.675,0.201,0,"0","LY96"
0,0.857278115497267,0.651,0.2,0,"0","FRAT2"
0,0.85618012043138,0.644,0.175,0,"0","GNS"
0,0.856132992919092,0.612,0.144,0,"0","CREG1"
0,0.852935630580567,0.855,0.407,0,"0","CASP1"
0,0.852741309339623,0.917,0.612,0,"0","CAST"
0,0.851039816011212,0.563,0.104,0,"0","KCNE3"
0,0.850340317967582,0.673,0.212,0,"0","GRINA"
0,0.847003148170342,0.673,0.163,0,"0","PILRA"
0,0.84684796257247,0.63,0.16,0,"0","CD300E"
0,0.846432884493175,0.585,0.105,0,"0","SIRPA"
0,0.841372825298886,0.868,0.457,0,"0","ARRB2"
0,0.840857930516209,0.695,0.201,0,"0","AOAH"
0,0.840770251114324,0.781,0.358,0,"0","RAB5IF"
0,0.838070222871483,0.6,0.177,0,"0","KLF10"
0,0.837550761102636,0.474,0.041,0,"0","MCEMP1"
0,0.829337687160587,0.878,0.338,0,"0","LYN"
0,0.828441772645907,0.768,0.316,0,"0","TPP1"
0,0.826594638799282,0.612,0.151,0,"0","RASSF4"
0,0.823069214376825,0.956,0.77,0,"0","ATP5MPL"
0,0.822345075563511,1,0.983,0,"0","H3F3A"
0,0.821962428277374,0.47,0.043,0,"0","PADI4"
0,0.814327472415222,0.959,0.706,0,"0","DAZAP2"
0,0.812213231196456,0.593,0.133,0,"0","CD1D"
0,0.810252755956178,0.832,0.355,0,"0","TNFRSF1B"
0,0.809152274383754,0.691,0.25,0,"0","GPCPD1"
0,0.808622021654853,0.917,0.505,0,"0","MYO1F"
0,0.805542656450369,0.978,0.775,0,"0","ITGB2"
0,0.805382947387693,0.625,0.188,0,"0","UBE2D1"
0,0.803343087975734,0.56,0.109,0,"0","RAB3D"
0,0.800834136924573,0.965,0.732,0,"0","ACTR2"
0,0.79594746627185,0.728,0.282,0,"0","SNX10"
0,0.794585828229765,0.553,0.129,0,"0","P2RY13"
0,0.793353559880425,0.652,0.161,0,"0","LILRB2"
0,0.789402734538638,0.575,0.129,0,"0","FES"
0,0.788203325887897,0.479,0.087,0,"0","ACSL1"
0,0.786321706023711,0.51,0.061,0,"0","NFE2"
0,0.784042276749218,0.654,0.202,0,"0","DPYSL2"
0,0.772215570953589,0.679,0.177,0,"0","LRRC25"
0,0.770055333425317,0.646,0.228,0,"0","CHP1"
0,0.768243183680837,0.994,0.937,0,"0","CYBA"
0,0.767329969914303,0.532,0.106,0,"0","SIRPB1"
0,0.764419821645312,0.51,0.088,0,"0","NFAM1"
0,0.764133162097115,0.843,0.376,0,"0","NCOA4"
0,0.7556814064102,0.488,0.082,0,"0","TMEM170B"
0,0.755650059580409,0.636,0.216,0,"0","DPYD"
0,0.752306087241406,0.97,0.795,0,"0","ELOB"
0,0.749238628715171,0.582,0.158,0,"0","ENTPD1"
0,0.749178212005696,0.661,0.233,0,"0","TNFRSF1A"
0,0.749176447625052,0.651,0.21,0,"0","KIAA0930"
0,0.747180599730257,0.591,0.18,0,"0","TET2"
0,0.744447177059382,0.588,0.158,0,"0","SMCO4"
0,0.741564102147524,0.632,0.183,0,"0","TBXAS1"
0,0.738560727659665,0.543,0.113,0,"0","ZNF467"
0,0.7382813169535,0.562,0.171,0,"0","FOSL2"
0,0.73477203331985,0.639,0.223,0,"0","LAMP2"
0,0.730115219459624,0.597,0.194,0,"0","PDXK"
0,0.728564683802149,0.508,0.089,0,"0","TFEC"
0,0.727986318043259,0.654,0.185,0,"0","MS4A7"
0,0.727843565910239,0.567,0.148,0,"0","EMILIN2"
0,0.726168841132271,0.435,0.034,0,"0","CRISPLD2"
0,0.720348469376238,0.498,0.092,0,"0","STAB1"
0,0.716182244980039,0.498,0.093,0,"0","PTAFR"
0,0.712244265334661,0.998,0.973,0,"0","JUND"
0,0.710001233337379,0.47,0.088,0,"0","TLR8"
0,0.708536190598755,0.362,0.027,0,"0","STEAP4"
0,0.708517596874116,0.991,0.937,0,"0","ARPC3"
0,0.690596043915471,0.517,0.122,0,"0","IL13RA1"
0,0.689717537513845,0.545,0.142,0,"0","CD86"
0,0.682318553835134,0.378,0.066,0,"0","TRIB1"
0,0.671670005370507,0.521,0.14,0,"0","ROGDI"
0,0.670887160852395,0.462,0.097,0,"0","SLC24A4"
0,0.667280500415205,0.516,0.125,0,"0","LILRA2"
0,0.661546457920896,0.523,0.134,0,"0","ZNF385A"
0,0.65974863352035,1,0.999,0,"0","ACTB"
0,0.653677246159877,0.483,0.11,0,"0","CD300LF"
0,0.652325653203081,0.444,0.089,0,"0","NLRP3"
0,0.650168905400852,0.408,0.052,0,"0","NLRP12"
0,0.642043339343231,0.487,0.119,0,"0","DOK3"
0,0.632301886889514,0.357,0.032,0,"0","AC245128.3"
0,0.631852856941202,0.998,0.97,0,"0","PABPC1"
0,0.628273475178662,0.347,0.021,0,"0","MARC1"
0,0.62397176346159,0.427,0.087,0,"0","CCR1"
0,0.618806536451985,0.433,0.087,0,"0","AC096667.1"
0,0.611450062959995,0.353,0.028,0,"0","CLEC4D"
0,0.610821254469787,0.464,0.111,0,"0","CSF2RA"
0,0.597748131208951,0.353,0.041,0,"0","S1PR3"
0,0.582382909272891,0.418,0.087,0,"0","NPL"
0,0.563855733856708,0.404,0.079,0,"0","SMARCD3"
0,0.559811004003594,0.373,0.054,0,"0","LINC00937"
0,0.550907970121787,0.366,0.063,0,"0","FCGR1A"
0,0.544874858301497,0.385,0.064,0,"0","KIF13A"
0,0.54141015255982,0.337,0.032,0,"0","FOLR3"
0,0.540179497603897,0.999,0.999,0,"0","MT-ND2"
0,0.534633858148301,0.291,0.02,0,"0","AQP9"
0,0.5345750894209,0.361,0.057,0,"0","HK2"
0,0.52735423432715,0.326,0.034,0,"0","F5"
0,0.517361123739459,0.535,0.125,0,"0","SMIM25"
0,0.481976150740828,0.286,0.024,0,"0","DYSF"
0,0.480806387735894,0.299,0.034,0,"0","RNASE2"
0,0.470069479038035,0.646,0.151,0,"0","RGS18"
0,0.406189355891404,0.239,0.017,0,"0","WLS"
0,-0.466589094034299,1,1,0,"0","MT-ATP6"
0,-0.498073260707303,1,0.995,0,"0","RPL28"
0,-0.519127195221416,0.995,0.993,0,"0","RPS9"
0,-0.570721790146647,0.998,0.991,0,"0","RPL8"
